query_id,query,ground_truth_functions
1,"Implementation of ReentrancyGuard protection","ReentrancyGuard.sol:nonReentrant,ReentrancyGuard.sol:_reentrancyGuard"
2,"Function to calculate flash loan fee with premium","FlashLoanLogic.sol:calculateFlashLoanFee"
3,"safeTransferFrom with ERC721 checks","ERC721.sol:safeTransferFrom"
4,"Logic for updating reserves in liquidity pool","Pool.sol:updateReserves"
5,"Access control using Ownable pattern","Ownable.sol:ownerOnly"
6,"Implementation of pausable functionality","Pausable.sol:_pause"
7,"Event emission for token transfer","ERC20.sol:Transfer"
8,"Signature verification for meta-transactions","ERC2771Context.sol"
9,"Interest rate calculation in lending protocol","InterestRateModel.sol:getBorrowRate"
10,"Role-based access control (RBAC)","AccessControl.sol:hasRole"
11,"Safe math operations to prevent overflow","SafeMath.sol:add"
12,"Proxy pattern implementation (UUPS)","UUPSUpgradeable.sol:upgradeTo"
13,"Price oracle integration","PriceOracle.sol:getPrice"
14,"Liquidation logic in lending","LiquidationLogic.sol:liquidate"
15,"Governance proposal creation","Governor.sol:propose"
16,"Timelock controller delay","TimelockController.sol:schedule"
17,"Merkle proof verification for airdrop","MerkleProof.sol:verify"
18,"Vesting schedule calculation","Vesting.sol:releasableAmount"
19,"Cross-chain bridge message handling","Bridge.sol:handleMessage"
20,"NFT royalty enforcement (ERC2981)","ERC2981.sol:royaltyInfo"
21,"Flash loan receiver interface","IFlashLoanReceiver.sol"
22,"Batch transfer optimization","ERC20.sol:batchTransfer"
23,"Slippage protection in swap","Router.sol:swapWithSlippage"
24,"Emergency withdraw function","MasterChef.sol:emergencyWithdraw"
25,"Upgradeable storage gap","Initializable.sol:__gap"
